0   0
0	6894.427688
52.90551255	6894.427688
135.4902397	6835.18609
259.5598033	6767.365637
321.5967666	6733.600391
529.2417597	6691.314924
632.3784213	6606.601704
715.424863	6589.793566
797.9415238	6530.49837
880.5284894	6471.116975
1441.527052	6378.413519
1628.2492	6319.251777
1710.77117	6259.963021
2126.100842	6175.599314
2228.650142	6048.49614
2290.765136	6014.655047
2498.507234	5972.468409
2561.607707	6023.407188
2603.099848	6014.982257
2830.799696	5904.92706
2935.465362	5947.503063
3081.096124	5939.166766
3102.177547	5956.186536
3206.315716	5956.275089
3269.416262	6007.219845
3837.300862	6465.746083
3983.005568	6457.484526
4341.017746	6788.667369
4403.661542	6797.1883
4549.295916	6788.879441
4654.474796	6873.82553
4758.61452	6873.934909
4821.188907	6882.54566
5029.40017	6882.856339
5342.272157	6925.635859
5633.177372	6866.676189
5716.760522	6892.262571
5820.904614	6892.384759
5904.487967	6917.973089
6195.331648	6859.118077
6299.992807	6901.59438
6549.271257	6851.099636
6633.44216	6919.102053
7298.226249	6784.4117
7381.813397	6810.015018
7527.538206	6801.813606
7797.397931	6725.890249
7859.979266	6734.523359
7880.986516	6751.498607
8026.643173	6743.24734
8068.729259	6777.256765
8214.38693	6769.008709
8235.465765	6786.042889
8443.706764	6786.435129
8527.3662	6811.963559
8776.67361	6761.529614
8818.759542	6795.543259
8964.421827	6787.307721
9027.514558	6838.300881
9235.32283	6796.274251
9277.408531	6830.290473
9568.231246	6771.485344
9589.818065	6830.875259
9735.484982	6822.652649
9777.570497	6856.671682
10131.05611	6806.446305
10214.64891	6832.078602
10401.96905	6815.449612
10485.56234	6841.084688
10734.89438	6790.704964
10818.48853	6816.343415
10984.80688	6782.743129
11089.40852	6825.368383
11130.98939	6817.041572
11235.15664	6817.22861
11277.17039	6851.198118
11506.00929	6826.208703
11589.67646	6851.913045
11797.44004	6809.887415
11839.5255	6843.918058
11943.69558	6844.113665
12027.29182	6869.764527
12235.63371	6870.161624
12277.21694	6861.84014
12361.31529	6929.849066
12528.07729	6938.719079
12633.25272	7023.777367
12716.34716	7006.936075
12757.93122	6998.61697
12842.02793	7066.631264
12987.78548	7058.521461
13134.97083	7177.566075
13177.05407	7211.604195
13281.22777	7211.816735
13407.40454	7313.876257
13595.17478	7339.759198
13826.02153	7484.543533
13909.11986	7467.714328
13971.71081	7476.393582
14035.29204	7569.784339
14181.05376	7561.696165
14391.31302	7731.802261
14412.38885	7748.853788
14413.86946	7876.06489
14582.1129	8012.189165
14603.6077	8071.538595
14604.59175	8156.393749
14647.15984	8232.795213
14650.59393	8529.713728
14671.59575	8546.707929
14755.6742	8614.743313
14778.21358	8759.004401
14861.80208	8784.686309
14986.97539	8801.917904
15470.55948	9193.284533
15595.8036	9210.584106
15658.39079	9219.277877
15700.94549	9295.684756
15846.15128	9245.217476
15909.2219	9296.268196
16179.6039	9263.054494
16262.7794	9246.309301
16304.85039	9280.36474
16450.54332	9272.262425
16534.6131	9340.317625
16701.37818	9349.277209
16785.51871	9417.393231
16827.517	9451.393569
16931.21375	9409.299387
16994.28284	9460.359234
17077.46129	9443.622015
17161.529	9511.684222
17307.29746	9503.654984
17390.88586	9529.363551
17474.95254	9597.429262
17599.65203	9572.345091
17766.42155	9581.326173
17953.7835	9564.870603
18037.3728	9590.585843
18307.7786	9557.43892
18728.79079	9940.359515
18874.49458	9932.299805
19652.30448	10562.31413
19777.01412	10537.26353
20008.25211	10724.59213
20111.96799	10682.53763
20154.03039	10716.61455
20301.13972	10835.79852
20405.32367	10836.10525
20467.91407	10844.83655
20676.6791	10887.89963
20801.39399	10862.86434
21072.8939	10914.64324
21551.23717	10839.87941
21592.76336	10831.54757
21697.88076	10916.73208
21885.19512	10900.45282
22030.51994	10850.00324
22114.10849	10875.76155
22343.02449	10851.07602
22426.61366	10876.83753
22572.40614	10868.90062
22677.4512	10954.04084
22760.64987	10937.35952
22886.29989	10997.21766
22969.42768	10980.48029
23032.55417	11031.64889
23136.21735	10989.5706
23220.33801	11057.75867
23324.00235	11015.68254
23387.05685	11066.79604
23470.25823	11050.12152
23574.91411	11092.9719
23848.1201	11314.45727
23870.55521	11458.76103
23954.59867	11526.89915
23996.65593	11560.99761
24100.32478	11518.93188
24163.37482	11570.05184
24246.57821	11553.3857
24246.57821	11553.3857
24246.57821	11553.3857
24413.8245	11604.86356
24539.08573	11622.30131
24560.07827	11639.3231
24686.17572	11741.57126
24790.30301	11742.01926
24978.61253	11810.58971
25082.81078	11810.9549
25187.39066	11853.769
25207.93132	11828.43142
25270.59766	11837.11297
25333.64482	11888.24275
25521.4323	11914.40666
25626.91277	12042.09398
25689.12976	12008.41744
25793.32991	12008.79164
26066.50046	12230.35741
26379.55168	12274.00536
26463.58538	12342.17152
26588.77886	12359.72784
26713.9712	12377.14148
26818.17364	12377.52885
26881.21596	12428.6716
27296.62541	12303.09106
27526.47231	12363.41826
27610.57647	12431.65544
27735.32936	12406.72135
27798.37134	12457.87184
27881.44605	12441.2696
27944.1154	12449.97168
28028.2185	12518.21354
28278.17142	12510.72261
28341.21244	12561.87767
28632.77859	12546.15663
28800.90996	12682.59862
28925.66942	12657.68183
29030.75919	12742.969
29176.50909	12735.09031
29407.67372	12922.70845
29553.42479	12914.83666
29637.5223	12983.09654
29741.73368	12983.52044
29783.78212	13017.65132
29909.85462	13119.98719
30055.60753	13112.12445
30223.72541	13248.59822
30246.01526	13392.87372
30435.18503	13546.44798
30477.59184	13623.03341
30458.33258	13775.59623
30479.6794	13835.08496
30836.5047	14082.64349
